,Time-s,MFM-sig,MFM-flow
07.02.2023 ; 09:28:40,1060,2319,3.623217
07.02.2023 ; 09:28:42,1062,2315,3.617831
07.02.2023 ; 09:28:44,1064,2314,3.616049
07.02.2023 ; 09:28:46,1066,2299,3.592204
07.02.2023 ; 09:28:48,1068,2309,3.608315
07.02.2023 ; 09:28:50,1070,2313,3.614537
07.02.2023 ; 09:28:52,1072,2309,3.607901
07.02.2023 ; 09:28:54,1074,2312,3.611813
07.02.2023 ; 09:28:56,1076,2311,3.610979
07.02.2023 ; 09:28:58,1078,2315,3.617783
07.02.2023 ; 09:29:00,1080,2304,3.599722
07.02.2023 ; 09:29:02,1082,2315,3.616436
07.02.2023 ; 09:29:04,1084,2312,3.612988
07.02.2023 ; 09:29:06,1086,2315,3.616783
07.02.2023 ; 09:29:08,1088,2311,3.610257
07.02.2023 ; 09:29:10,1090,2311,3.610304
07.02.2023 ; 09:29:12,1092,2314,3.615702
07.02.2023 ; 09:29:14,1094,2303,3.597873
07.02.2023 ; 09:29:16,1096,2654,4.147306
07.02.2023 ; 09:29:18,1098,2436,3.806887
07.02.2023 ; 09:29:20,1100,2353,3.676956
07.02.2023 ; 09:29:22,1102,2321,3.626666
07.02.2023 ; 09:29:24,1104,2306,3.603175
07.02.2023 ; 09:29:26,1106,2303,3.59889
07.02.2023 ; 09:29:28,1108,2312,3.612237
07.02.2023 ; 09:29:30,1110,2304,3.599865
07.02.2023 ; 09:29:32,1112,2303,3.597789
07.02.2023 ; 09:29:34,1114,2932,4.580616
07.02.2023 ; 09:29:36,1116,2525,3.94605
07.02.2023 ; 09:29:38,1118,2413,3.770056
07.02.2023 ; 09:29:40,1120,2355,3.679939
07.02.2023 ; 09:29:42,1122,2333,3.645314
07.02.2023 ; 09:29:44,1124,2356,3.681894
07.02.2023 ; 09:29:46,1126,2341,3.658547
07.02.2023 ; 09:29:48,1128,2325,3.633551
07.02.2023 ; 09:29:50,1130,2315,3.616756
07.02.2023 ; 09:29:52,1132,2321,3.625897
07.02.2023 ; 09:29:54,1134,2313,3.614198
07.02.2023 ; 09:29:56,1136,2311,3.61166
07.02.2023 ; 09:29:58,1138,2308,3.60601
07.02.2023 ; 09:30:00,1140,2302,3.596904
07.02.2023 ; 09:30:02,1142,2290,3.577502
07.02.2023 ; 09:30:04,1144,2309,3.608274
07.02.2023 ; 09:30:06,1146,2277,3.558204
07.02.2023 ; 09:30:08,1148,2293,3.582935
07.02.2023 ; 09:30:10,1150,2336,3.650688
07.02.2023 ; 09:30:12,1152,2348,3.668045
07.02.2023 ; 09:30:14,1154,2328,3.637057
07.02.2023 ; 09:30:16,1156,2324,3.632
07.02.2023 ; 09:30:18,1158,2320,3.625352
07.02.2023 ; 09:30:20,1160,2326,3.634331
07.02.2023 ; 09:30:22,1162,2324,3.631655
07.02.2023 ; 09:30:24,1164,2318,3.622574
07.02.2023 ; 09:30:26,1166,2307,3.604307
07.02.2023 ; 09:30:28,1168,2304,3.599797
07.02.2023 ; 09:30:30,1170,2303,3.598592
07.02.2023 ; 09:30:32,1172,2298,3.590273
07.02.2023 ; 09:30:34,1174,2299,3.592906
07.02.2023 ; 09:30:36,1176,2302,3.597147
07.02.2023 ; 09:30:38,1178,2310,3.608728
07.02.2023 ; 09:30:40,1180,2312,3.612616
07.02.2023 ; 09:30:42,1182,2319,3.623826
07.02.2023 ; 09:30:44,1184,2312,3.611758
07.02.2023 ; 09:30:46,1186,2315,3.61712
07.02.2023 ; 09:30:48,1188,2318,3.621563
07.02.2023 ; 09:30:50,1190,2321,3.625237
07.02.2023 ; 09:30:52,1192,2311,3.611143
07.02.2023 ; 09:30:54,1194,2310,3.608612
07.02.2023 ; 09:30:56,1196,2313,3.614009
07.02.2023 ; 09:30:58,1198,2314,3.616186
07.02.2023 ; 09:31:00,1200,2312,3.611835
07.02.2023 ; 09:31:02,1202,2332,3.644063
07.02.2023 ; 09:31:04,1204,2304,3.600546
07.02.2023 ; 09:31:06,1206,2302,3.597486
07.02.2023 ; 09:31:08,1208,2315,3.616745
07.02.2023 ; 09:31:10,1210,2326,3.634288
07.02.2023 ; 09:31:12,1212,2323,3.628926
07.02.2023 ; 09:31:14,1214,2315,3.617838
07.02.2023 ; 09:31:16,1216,2331,3.642442
07.02.2023 ; 09:31:18,1218,2314,3.616364
07.02.2023 ; 09:31:20,1220,2312,3.613141
07.02.2023 ; 09:31:22,1222,2309,3.608172
07.02.2023 ; 09:31:24,1224,2306,3.60264
07.02.2023 ; 09:31:26,1226,2318,3.621757
07.02.2023 ; 09:31:28,1228,2320,3.625573
07.02.2023 ; 09:31:30,1230,2321,3.627307
07.02.2023 ; 09:31:32,1232,2324,3.631645
07.02.2023 ; 09:31:34,1234,2317,3.620601
07.02.2023 ; 09:31:36,1236,2317,3.619672
07.02.2023 ; 09:31:38,1238,2313,3.613283
07.02.2023 ; 09:31:40,1240,2302,3.596263
07.02.2023 ; 09:31:42,1242,2313,3.614162
07.02.2023 ; 09:31:44,1244,2311,3.610912
07.02.2023 ; 09:31:46,1246,2325,3.632756
07.02.2023 ; 09:31:48,1248,2312,3.613168
07.02.2023 ; 09:31:50,1250,2304,3.600195
07.02.2023 ; 09:31:52,1252,2306,3.60254
07.02.2023 ; 09:31:54,1254,2303,3.598583
07.02.2023 ; 09:31:56,1256,2308,3.606682
07.02.2023 ; 09:31:58,1258,2318,3.621387
07.02.2023 ; 09:32:00,1260,2307,3.604858
07.02.2023 ; 09:32:02,1262,2306,3.603745
07.02.2023 ; 09:32:04,1264,2295,3.586033
07.02.2023 ; 09:32:06,1266,2285,3.570014
07.02.2023 ; 09:32:08,1268,2292,3.581067
07.02.2023 ; 09:32:10,1270,2323,3.629717
07.02.2023 ; 09:32:12,1272,2314,3.614918
07.02.2023 ; 09:32:14,1274,2314,3.615674
07.02.2023 ; 09:32:16,1276,2318,3.62194
07.02.2023 ; 09:32:18,1278,2308,3.606117
07.02.2023 ; 09:32:20,1280,2308,3.6068
07.02.2023 ; 09:32:22,1282,2305,3.60138
07.02.2023 ; 09:32:24,1284,2303,3.598996
07.02.2023 ; 09:32:26,1286,2304,3.599405
07.02.2023 ; 09:32:28,1288,2303,3.597735
07.02.2023 ; 09:32:30,1290,2304,3.600609
07.02.2023 ; 09:32:32,1292,2307,3.604149
07.02.2023 ; 09:32:34,1294,2301,3.594944
07.02.2023 ; 09:32:36,1296,2309,3.607618
07.02.2023 ; 09:32:38,1298,2298,3.591141
07.02.2023 ; 09:32:40,1300,2316,3.618117
07.02.2023 ; 09:32:42,1302,2309,3.607909
07.02.2023 ; 09:32:44,1304,2306,3.603183
07.02.2023 ; 09:32:46,1306,2300,3.594527
07.02.2023 ; 09:32:48,1308,2314,3.616333
07.02.2023 ; 09:32:50,1310,2306,3.602567
07.02.2023 ; 09:32:52,1312,2308,3.60594
07.02.2023 ; 09:32:54,1314,2294,3.584358
07.02.2023 ; 09:32:56,1316,2296,3.587019
07.02.2023 ; 09:32:58,1318,2301,3.595081
07.02.2023 ; 09:33:00,1320,2303,3.598291
07.02.2023 ; 09:33:02,1322,2305,3.601251
07.02.2023 ; 09:33:04,1324,2294,3.584704
07.02.2023 ; 09:33:06,1326,2297,3.5896
07.02.2023 ; 09:33:08,1328,2301,3.595887
07.02.2023 ; 09:33:10,1330,2306,3.602632
07.02.2023 ; 09:33:12,1332,2309,3.607605
07.02.2023 ; 09:33:14,1334,2307,3.604362
07.02.2023 ; 09:33:16,1336,2312,3.61259
07.02.2023 ; 09:33:18,1338,2307,3.604656
07.02.2023 ; 09:33:20,1340,2303,3.598661
07.02.2023 ; 09:33:22,1342,2308,3.60647
07.02.2023 ; 09:33:24,1344,2312,3.613171
07.02.2023 ; 09:33:26,1346,2309,3.607446
07.02.2023 ; 09:33:28,1348,2303,3.59888
07.02.2023 ; 09:33:30,1350,2314,3.615464
07.02.2023 ; 09:33:32,1352,2303,3.598485
07.02.2023 ; 09:33:34,1354,2307,3.605371
07.02.2023 ; 09:33:36,1356,2310,3.608861
07.02.2023 ; 09:33:38,1358,2312,3.61283
07.02.2023 ; 09:33:40,1360,2306,3.603405
07.02.2023 ; 09:33:42,1362,2304,3.600478
07.02.2023 ; 09:33:44,1364,2310,3.609477
07.02.2023 ; 09:33:46,1366,2302,3.596235
07.02.2023 ; 09:33:48,1368,2308,3.606609
07.02.2023 ; 09:33:50,1370,2318,3.622188
07.02.2023 ; 09:33:52,1372,2293,3.58205
07.02.2023 ; 09:33:54,1374,2293,3.583548
07.02.2023 ; 09:33:56,1376,2306,3.603096
07.02.2023 ; 09:33:58,1378,2302,3.597575
07.02.2023 ; 09:34:00,1380,2317,3.619393
07.02.2023 ; 09:34:02,1382,2323,3.629205
07.02.2023 ; 09:34:04,1384,2313,3.613456
07.02.2023 ; 09:34:06,1386,2314,3.615776
07.02.2023 ; 09:34:08,1388,2310,3.60989
07.02.2023 ; 09:34:10,1390,2312,3.612984
07.02.2023 ; 09:34:12,1392,2309,3.608444
07.02.2023 ; 09:34:14,1394,2315,3.61687
07.02.2023 ; 09:34:16,1396,2306,3.603109
07.02.2023 ; 09:34:18,1398,2311,3.611031
07.02.2023 ; 09:34:20,1400,2309,3.608077
07.02.2023 ; 09:34:22,1402,2309,3.60812
07.02.2023 ; 09:34:24,1404,2301,3.595521
07.02.2023 ; 09:34:26,1406,2311,3.611611
07.02.2023 ; 09:34:28,1408,2313,3.613369
07.02.2023 ; 09:34:30,1410,2309,3.60749
07.02.2023 ; 09:34:32,1412,2300,3.592952
07.02.2023 ; 09:34:34,1414,2301,3.595864
07.02.2023 ; 09:34:36,1416,2314,3.615088
07.02.2023 ; 09:34:38,1418,2317,3.619646
07.02.2023 ; 09:34:40,1420,2310,3.608769
07.02.2023 ; 09:34:42,1422,2296,3.587218
07.02.2023 ; 09:34:44,1424,2285,3.57008
07.02.2023 ; 09:34:46,1426,2289,3.577287
07.02.2023 ; 09:34:48,1428,2315,3.617687
07.02.2023 ; 09:34:50,1430,2300,3.59426
07.02.2023 ; 09:34:52,1432,2277,3.558426
07.02.2023 ; 09:34:54,1434,2310,3.608616
07.02.2023 ; 09:34:56,1436,2318,3.621701
07.02.2023 ; 09:34:58,1438,2314,3.61494
07.02.2023 ; 09:35:00,1440,2320,3.624705
07.02.2023 ; 09:35:02,1442,2309,3.607427
07.02.2023 ; 09:35:04,1444,2301,3.595589
07.02.2023 ; 09:35:06,1446,2303,3.598647
07.02.2023 ; 09:35:08,1448,2307,3.60471
07.02.2023 ; 09:35:10,1450,2301,3.595745
07.02.2023 ; 09:35:12,1452,2297,3.589379
07.02.2023 ; 09:35:14,1454,2303,3.597677
07.02.2023 ; 09:35:16,1456,2307,3.60482
07.02.2023 ; 09:35:18,1458,2313,3.613415
07.02.2023 ; 09:35:20,1460,2322,3.62858
07.02.2023 ; 09:35:22,1462,2315,3.617501
07.02.2023 ; 09:35:24,1464,2306,3.602484
07.02.2023 ; 09:35:26,1466,2300,3.594056
07.02.2023 ; 09:35:28,1468,2305,3.601957
07.02.2023 ; 09:35:30,1470,2322,3.627456
07.02.2023 ; 09:35:32,1472,2300,3.594162
07.02.2023 ; 09:35:34,1474,2301,3.595333
