,Time-s,MFM-sig,MFM-flow
06.02.2023 ; 12:19:40,1052,2319,3.622816
06.02.2023 ; 12:19:42,1054,2317,3.619899
06.02.2023 ; 12:19:44,1056,2318,3.622565
06.02.2023 ; 12:19:46,1058,2314,3.615053
06.02.2023 ; 12:19:48,1060,2311,3.610931
06.02.2023 ; 12:19:50,1062,2319,3.624002
06.02.2023 ; 12:19:52,1064,2311,3.611543
06.02.2023 ; 12:19:54,1066,2315,3.61781
06.02.2023 ; 12:19:56,1068,2317,3.620932
06.02.2023 ; 12:19:58,1070,2321,3.627089
06.02.2023 ; 12:20:00,1072,2317,3.620933
06.02.2023 ; 12:20:02,1074,2317,3.621018
06.02.2023 ; 12:20:04,1076,2319,3.624056
06.02.2023 ; 12:20:06,1078,2313,3.613875
06.02.2023 ; 12:20:08,1080,2314,3.61518
06.02.2023 ; 12:20:10,1082,2316,3.619172
06.02.2023 ; 12:20:12,1084,2306,3.603644
06.02.2023 ; 12:20:14,1086,2310,3.609163
06.02.2023 ; 12:20:16,1088,2316,3.618245
06.02.2023 ; 12:20:18,1090,2309,3.607949
06.02.2023 ; 12:20:20,1092,2311,3.610774
06.02.2023 ; 12:20:22,1094,2313,3.613488
06.02.2023 ; 12:20:24,1096,2316,3.618437
06.02.2023 ; 12:20:26,1098,2291,3.578925
06.02.2023 ; 12:20:28,1100,2299,3.59209
06.02.2023 ; 12:20:30,1102,2578,4.028386
06.02.2023 ; 12:20:32,1104,2405,3.758425
06.02.2023 ; 12:20:34,1106,2346,3.665642
06.02.2023 ; 12:20:36,1108,2322,3.627959
06.02.2023 ; 12:20:38,1110,2316,3.618779
06.02.2023 ; 12:20:40,1112,2310,3.609771
06.02.2023 ; 12:20:42,1114,2310,3.608715
06.02.2023 ; 12:20:44,1116,2315,3.616479
06.02.2023 ; 12:20:46,1118,2309,3.608306
06.02.2023 ; 12:20:48,1120,2743,4.285169
06.02.2023 ; 12:20:50,1122,2497,3.901931
06.02.2023 ; 12:20:52,1124,2409,3.764201
06.02.2023 ; 12:20:54,1126,2353,3.676797
06.02.2023 ; 12:20:56,1128,2336,3.64999
06.02.2023 ; 12:20:58,1130,2347,3.667127
06.02.2023 ; 12:21:00,1132,2329,3.638808
06.02.2023 ; 12:21:02,1134,2314,3.615534
06.02.2023 ; 12:21:04,1136,2320,3.625075
06.02.2023 ; 12:21:06,1138,2309,3.607083
06.02.2023 ; 12:21:08,1140,2306,3.603546
06.02.2023 ; 12:21:10,1142,2307,3.604321
06.02.2023 ; 12:21:12,1144,2316,3.618226
06.02.2023 ; 12:21:14,1146,2311,3.611659
06.02.2023 ; 12:21:16,1148,2308,3.60611
06.02.2023 ; 12:21:18,1150,2321,3.62646
06.02.2023 ; 12:21:20,1152,2309,3.607287
06.02.2023 ; 12:21:22,1154,2310,3.609039
06.02.2023 ; 12:21:24,1156,2316,3.619169
06.02.2023 ; 12:21:26,1158,2323,3.629389
06.02.2023 ; 12:21:28,1160,2335,3.648911
06.02.2023 ; 12:21:30,1162,2343,3.661208
06.02.2023 ; 12:21:32,1164,2316,3.618089
