,Time-s,MFM-sig,MFM-flow
08.02.2023 ; 13:14:25,0,3018,4.715261
08.02.2023 ; 13:14:27,2,3090,4.827808
08.02.2023 ; 13:14:29,4,3162,4.940552
08.02.2023 ; 13:14:31,6,3202,5.003741
08.02.2023 ; 13:14:33,8,3233,5.05101
08.02.2023 ; 13:14:35,10,3216,5.024853
08.02.2023 ; 13:14:37,12,3213,5.020442
08.02.2023 ; 13:14:39,14,3219,5.029632
08.02.2023 ; 13:14:41,16,3191,4.986114
08.02.2023 ; 13:14:43,18,3178,4.96602
08.02.2023 ; 13:14:45,20,3163,4.94211
08.02.2023 ; 13:14:47,22,3158,4.934193
08.02.2023 ; 13:14:49,24,3499,5.466664
08.02.2023 ; 13:14:51,26,3266,5.102948
08.02.2023 ; 13:14:53,28,3210,5.015825
08.02.2023 ; 13:14:55,30,3140,4.906257
08.02.2023 ; 13:14:57,32,3157,4.933549
08.02.2023 ; 13:14:59,34,3148,4.919377
08.02.2023 ; 13:15:01,36,3138,4.903753
08.02.2023 ; 13:15:03,38,3132,4.893618
08.02.2023 ; 13:15:05,40,3116,4.868305
08.02.2023 ; 13:15:07,42,3308,5.169075
08.02.2023 ; 13:15:09,44,3104,4.849946
08.02.2023 ; 13:15:11,46,3108,4.856989
08.02.2023 ; 13:15:13,48,3091,4.830044
08.02.2023 ; 13:15:15,50,3099,4.841586
08.02.2023 ; 13:15:17,52,3094,4.835112
08.02.2023 ; 13:15:19,54,3071,4.798639
08.02.2023 ; 13:15:21,56,3043,4.753961
08.02.2023 ; 13:15:23,58,3030,4.734254
08.02.2023 ; 13:15:25,60,3016,4.712352
08.02.2023 ; 13:15:27,62,3022,4.722287
08.02.2023 ; 13:15:29,64,3008,4.700205
08.02.2023 ; 13:15:31,66,3002,4.690579
08.02.2023 ; 13:15:33,68,2988,4.668499
08.02.2023 ; 13:15:35,70,2971,4.642051
08.02.2023 ; 13:15:37,72,2980,4.656956
08.02.2023 ; 13:15:39,74,2984,4.66277
08.02.2023 ; 13:15:41,76,2983,4.660594
08.02.2023 ; 13:15:43,78,2976,4.650595
08.02.2023 ; 13:15:45,80,2958,4.621601
08.02.2023 ; 13:15:47,82,2933,4.583045
08.02.2023 ; 13:15:49,84,2909,4.545936
08.02.2023 ; 13:15:51,86,2906,4.540677
08.02.2023 ; 13:15:53,88,2885,4.507774
08.02.2023 ; 13:15:55,90,2878,4.49562
08.02.2023 ; 13:15:57,92,2866,4.478785
08.02.2023 ; 13:15:59,94,2841,4.439575
08.02.2023 ; 13:16:01,96,2823,4.411517
08.02.2023 ; 13:16:03,98,2796,4.368423
08.02.2023 ; 13:16:05,100,2772,4.330572
08.02.2023 ; 13:16:07,102,2744,4.288053
08.02.2023 ; 13:16:09,104,2718,4.246859
08.02.2023 ; 13:16:11,106,2696,4.212112
08.02.2023 ; 13:16:13,108,2672,4.175507
08.02.2023 ; 13:16:15,110,2655,4.147732
08.02.2023 ; 13:16:17,112,2631,4.110835
08.02.2023 ; 13:16:19,114,2579,4.029785
08.02.2023 ; 13:16:21,116,2574,4.021124
08.02.2023 ; 13:16:23,118,2599,4.061483
08.02.2023 ; 13:16:25,120,2579,4.029402
08.02.2023 ; 13:16:27,122,2569,4.013581
08.02.2023 ; 13:16:29,124,2583,4.036752
08.02.2023 ; 13:16:31,126,2606,4.072374
08.02.2023 ; 13:16:33,128,2622,4.097488
08.02.2023 ; 13:16:35,130,2650,4.140836
08.02.2023 ; 13:16:37,132,2677,4.182819
08.02.2023 ; 13:16:39,134,2708,4.232018
08.02.2023 ; 13:16:41,136,2737,4.276658
08.02.2023 ; 13:16:43,138,2776,4.338063
08.02.2023 ; 13:16:45,140,2788,4.355736
08.02.2023 ; 13:16:47,142,2814,4.396346
08.02.2023 ; 13:16:49,144,2834,4.427503
08.02.2023 ; 13:16:51,146,2836,4.431057
08.02.2023 ; 13:16:53,148,2847,4.448565
08.02.2023 ; 13:16:55,150,2845,4.446124
08.02.2023 ; 13:16:57,152,2859,4.466516
